recording_id,outer_fold,model,alpha,inner_fold,mean_r2,n_validation_samples,selected
GROUP,1,M2_mel_syl,1000.0,2,0.2619287902873193,42840,False
GROUP,1,M2_mel_syl,1000.0,3,0.40734909639370964,41650,False
GROUP,1,M2_mel_syl,1000.0,mean,0.35899337973457995,159460,True
GROUP,1,M3_mel_syl_boundary,0.001,0,0.40577847380459064,42840,False
GROUP,1,M3_mel_syl_boundary,0.001,1,0.29417736651296456,32130,False
GROUP,1,M3_mel_syl_boundary,0.001,2,0.2404073861543372,42840,False
GROUP,1,M3_mel_syl_boundary,0.001,3,0.3788870881486277,41650,False
GROUP,1,M3_mel_syl_boundary,0.001,mean,0.3318397607430852,159460,False
GROUP,1,M3_mel_syl_boundary,0.01,0,0.40577850592883946,42840,False
GROUP,1,M3_mel_syl_boundary,0.01,1,0.2941774285673916,32130,False
GROUP,1,M3_mel_syl_boundary,0.01,2,0.24040744860965868,42840,False
GROUP,1,M3_mel_syl_boundary,0.01,3,0.37888709638876017,41650,False
GROUP,1,M3_mel_syl_boundary,0.01,mean,0.3318398008082994,159460,False
GROUP,1,M3_mel_syl_boundary,0.1,0,0.4057788270824524,42840,False
GROUP,1,M3_mel_syl_boundary,0.1,1,0.29417804895963484,32130,False
GROUP,1,M3_mel_syl_boundary,0.1,2,0.2404080729765421,42840,False
GROUP,1,M3_mel_syl_boundary,0.1,3,0.3788871787266115,41650,False
GROUP,1,M3_mel_syl_boundary,0.1,mean,0.3318402013392936,159460,False
GROUP,1,M3_mel_syl_boundary,1.0,0,0.4057820298906675,42840,False
GROUP,1,M3_mel_syl_boundary,1.0,1,0.29418423786436065,32130,False
GROUP,1,M3_mel_syl_boundary,1.0,2,0.2404142982499392,42840,False
GROUP,1,M3_mel_syl_boundary,1.0,3,0.37888799584549415,41650,False
GROUP,1,M3_mel_syl_boundary,1.0,mean,0.3318441947014319,159460,False
GROUP,1,M3_mel_syl_boundary,10.0,0,0.40581331278854804,42840,False
GROUP,1,M3_mel_syl_boundary,10.0,1,0.29424478457272196,32130,False
GROUP,1,M3_mel_syl_boundary,10.0,2,0.24047491247957742,42840,False
GROUP,1,M3_mel_syl_boundary,10.0,3,0.3788956149301903,41650,False
GROUP,1,M3_mel_syl_boundary,10.0,mean,0.3318830732512885,159460,False
GROUP,1,M3_mel_syl_boundary,100.0,0,0.40609243465815237,42840,False
GROUP,1,M3_mel_syl_boundary,100.0,1,0.2947800189105926,32130,False
GROUP,1,M3_mel_syl_boundary,100.0,2,0.24099564555933883,42840,False
GROUP,1,M3_mel_syl_boundary,100.0,3,0.37894494004426627,41650,False
GROUP,1,M3_mel_syl_boundary,100.0,mean,0.332218688805709,159460,False
GROUP,1,M3_mel_syl_boundary,1000.0,0,0.4081394330490008,42840,False
